,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,rhs_0,rhs_1,rhs_2
52,comic-sweep-68,3,10000.0,4.674278505301463,-13.777583122253418,9.103303943022098,gaussian,0.0001154549900093116,0.8429719301534392,7.581297541037202e-05,15,0.00019826761854346842,0.00011699867172865197,0.8474191459107945,8,0.8441593720038728,0.8446401977442947,4.58560662892871,12,2.9979259124957025e-05,2.1126956198713742e-05,0.00030014527146704495,0.00045098073314875364,0.00032282137544825673,0.3130512984211151,0.21667767859787634,0.3046904293579509,0.00031933445751045053,0.00046130210751772315,0.00032809429157815964
53,tough-sweep-67,3,10000.0,4.471761782786,-13.860066413879396,9.388304491221158,gaussian,0.00016224988212343305,0.9706482669674694,0.00016057840548455715,13,0.00016224988212343305,0.00032534345518797636,0.9706482669674694,14,0.9699435106208096,0.9682530856548701,4.406787168565506,9,1.3288256923260633e-05,8.448129847238306e-06,0.0004710488428827375,0.0005940933478996158,0.0004491710278671235,0.20589948817278358,0.1701270124955876,0.22152282838305837,0.00048543809932248116,0.0005874508312985406,0.00045121705525370126
54,deep-sweep-66,3,10000.0,4.868717776464926,-13.835596084594728,8.966876115950443,gaussian,0.00014889526937622577,0.8381185295446851,0.00012981033069081604,8,0.0030013821087777615,0.0003210093127563596,0.848836556255908,1,0.8402783846067083,0.8454303734980456,4.607862486299296,4,3.211854709661566e-05,2.140818105544895e-05,0.00046898997970856726,0.0005423721158877015,0.00031187539570964873,0.20790950083668136,0.18980740394181428,0.3209627121651124,0.0004807472716283041,0.0005265724133148542,0.00031146563026781247
55,fiery-sweep-65,3,10000.0,4.529496028997301,-13.81389045715332,9.284397787632749,gaussian,6.114069401519373e-05,0.7011879379131093,6.114069401519373e-05,16,0.01649625226855278,7.018661563051865e-05,0.7265341298900349,0,0.7011879379131093,0.7016945298747134,4.52071392821755,11,2.8579052013810724e-05,1.8142402041121386e-05,0.00041072003659792244,0.0003604603698477149,0.00039767305133864284,0.2508951078771702,0.26571819839068667,0.24491588046962054,0.00039841413980441857,0.0003761969669699772,0.0004081368105950135
56,rare-sweep-64,3,10000.0,5.2314219048916195,-13.84480094909668,8.61338444073013,gaussian,0.00021458785340655595,0.8472619986635541,0.0001853809371823445,15,0.00035275585833005607,0.0005081405397504568,0.8490849390288099,13,0.8475660620730141,0.8476820617617787,4.565164195365616,11,2.2196341888047755e-05,1.7137141185230576e-05,0.0002102017606375739,0.0004172787012066692,0.0002948001492768526,0.47452990507901305,0.2434398030587568,0.36076754907208297,0.00021069047468332764,0.00041061049875232855,0.00027710998192310467
57,driven-sweep-63,3,10000.0,4.608483811754423,-13.831148147583008,9.22266680775241,gaussian,0.0001434049627278,0.8936806268996542,0.00010917313920799643,12,0.0001434049627278,0.0001421334018232301,0.8936806268996542,13,0.8929721524403487,0.8914105541959098,4.392209399980081,8,1.3884289728594013e-05,8.0359905041405e-06,0.0004297936102375388,0.00019352846720721573,0.0002829855075106025,0.2391585643060843,0.485957362190792,0.35448942001224637,0.0004179578703484556,0.0002057370338950797,0.0002820163105727924
58,elated-sweep-62,3,10000.0,4.7516182245863,-13.758148193359377,9.006536138410112,gaussian,9.139156463788822e-05,0.8678236931594331,9.139156463788822e-05,12,0.0002379048673901707,0.0001554352493258193,0.8684183194666372,5,0.8678236931594331,0.8683567386392166,4.484332352318901,7,2.5350042051286437e-05,1.4008322068548296e-05,0.000302397005725652,0.0004168336745351553,0.00031530766864307225,0.33558163749832204,0.2389261578341726,0.32392130884347026,0.0002979013113295477,0.00041836425312653965,0.0003086216778672062
59,golden-sweep-61,3,10000.0,4.794705772591972,-13.81625747680664,9.021551790681135,gaussian,6.04101805947721e-05,0.8205447132824673,6.04101805947721e-05,16,0.009424299001693726,0.0001392542471876368,0.8386372382836682,0,0.8205447132824673,0.8213047068509726,4.558704976226618,11,3.907536301994696e-05,2.0144598238402978e-05,0.00036812719190493226,0.0004052233707625419,0.000457866583019495,0.2533416211577766,0.24504123235405828,0.21633222272136354,0.00039456818317046033,0.00040792811164288217,0.0004620384097276529
60,wild-sweep-60,3,1000.0,4.4020460833030315,-10.34547233581543,5.943423190582057,gaussian,5.219173544901423e-05,0.8687337821615927,5.219173544901423e-05,13,5.225562927080318e-05,0.0001236934622284025,0.8689936834686931,12,0.8687337821615927,0.8671543670090788,4.341667385918968,8,6.786923768231645e-05,4.9430294893682e-05,0.003286986378952861,0.003472808515653014,0.003190492046996951,0.31662918082298575,0.29835492597705127,0.3313802383925726,0.0031483253440662256,0.0033405162675581314,0.003008602451325356
61,dry-sweep-59,3,1000.0,4.558955037763647,-10.331225395202637,5.772271105119653,gaussian,5.215517739998177e-05,0.6792878783985001,5.215517739998177e-05,10,0.004885896574705839,0.00013676134403795004,0.6867783242110854,0,0.6792878783985001,0.6730851256621001,4.350955636715736,5,0.00016170466551557183,5.181914457352832e-05,0.003716275794431567,0.003860432654619217,0.00377390393987298,0.2545149893660579,0.2578994452010761,0.25436213526069196,0.003913664722688234,0.0038625034488712125,0.00391600735551153
